journal_name,issn,field,n_articles,n_with_review_time,median_days_submission_to_acceptance,p25_review,p75_review,mean_days_submission_to_acceptance,median_days_acceptance_to_publication,median_days_total,data_sources,publisher,sjr_rank,sjr_score,primary_area,mega_domain
Review of Quantitative Finance and Accounting,0924-865X,Accounting,54,54,460.5,345.25,587.25,473.0,50.0,502.5,crossref_assertion,Springer New York,10760,0.541,"Business, Management and Accounting",Social Sciences
Journal of Financial Economics,0304-405X,Accounting,100,92,410.0,276.75,715.75,490.0652173913044,13.5,521.0,scrape_elsevier,Elsevier B.V.,24,17.669,"Business, Management and Accounting",Social Sciences
International Journal of Finance and Economics,1099-1158,Accounting,100,96,406.5,257.75,581.0,438.5729166666667,19.0,440.5,crossref_assertion,John Wiley and Sons Ltd,6884,0.791,"Business, Management and Accounting",Social Sciences
Financial Markets and Portfolio Management,1934-4554,Accounting,5,5,364.0,147.0,451.0,396.6,34.0,410.0,crossref_assertion,Springer New York,13289,0.423,"Business, Management and Accounting",Social Sciences
Journal of International Financial Management and Accounting,0954-1314,Accounting,100,100,350.5,255.25,525.5,387.14,18.5,386.5,crossref_assertion,Wiley-Blackwell Publishing Ltd,1434,2.0,"Business, Management and Accounting",Social Sciences
Journal of Risk and Insurance,1539-6975,Accounting,100,96,345.0,223.5,515.5,397.6875,35.5,392.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,3045,1.31,"Business, Management and Accounting",Social Sciences
Journal of Financial Research,0270-2592,Accounting,107,106,344.5,214.0,520.25,389.72641509433964,19.0,373.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,8302,0.686,"Business, Management and Accounting",Social Sciences
Asia-Pacific Journal of Accounting and Economics,2164-2257,Accounting,103,103,294.0,228.5,374.0,313.2135922330097,37.0,332.0,crossref_assertion,Taylor and Francis Ltd.,12712,0.447,"Business, Management and Accounting",Social Sciences
Journal of Risk and Uncertainty,1573-0476,Accounting,13,13,256.0,209.0,327.0,277.38461538461536,39.0,312.0,crossref_assertion,Springer Netherlands,6886,0.791,"Business, Management and Accounting",Social Sciences
Accounting Perspectives,1911-3838,Accounting,58,57,251.0,178.0,415.0,330.7543859649123,80.0,339.5,crossref_assertion,John Wiley and Sons Inc,11040,0.526,"Business, Management and Accounting",Social Sciences
International Journal of Disclosure and Governance,1741-3591,Accounting,100,100,237.5,130.25,381.5,277.18,18.0,267.0,crossref_assertion,Palgrave Macmillan Ltd.,9846,0.59,"Business, Management and Accounting",Social Sciences
Social and Environmental Accountability Journal,0969-160X,Accounting,27,27,234.0,1.5,501.0,291.7037037037037,16.0,251.0,crossref_assertion,Routledge,12702,0.448,"Business, Management and Accounting",Social Sciences
Financial Management,0046-3892,Accounting,38,38,217.5,24.0,403.25,236.94736842105263,19.0,291.0,crossref_assertion,Wiley-Blackwell,627,3.226,"Business, Management and Accounting",Social Sciences
International Tax and Public Finance,1573-6970,Accounting,33,33,217.0,153.0,305.0,216.42424242424244,25.0,231.0,crossref_assertion,Springer New York,9637,0.602,"Business, Management and Accounting",Social Sciences
Financial Analysts Journal,0015-198X,Accounting,100,100,216.0,167.75,308.75,246.04,42.0,264.0,crossref_assertion,Taylor and Francis Ltd.,1259,2.148,"Business, Management and Accounting",Social Sciences
Geneva Papers on Risk and Insurance: Issues and Practice,1018-5895,Accounting,101,101,211.0,161.0,296.0,242.6138613861386,33.0,245.0,crossref_assertion,Springer Nature,9724,0.597,"Business, Management and Accounting",Social Sciences
Journal of Futures Markets,1096-9934,Accounting,104,104,200.5,156.75,333.5,256.15384615384613,20.5,229.0,crossref_assertion,Wiley-Liss Inc.,9143,0.632,"Business, Management and Accounting",Social Sciences
Australian Accounting Review,1035-6908,Accounting,104,104,196.0,101.25,281.0,207.55769230769232,27.5,225.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,6243,0.847,"Business, Management and Accounting",Social Sciences
Risk Management and Insurance Review,1540-6296,Accounting,102,102,194.0,75.5,251.75,176.49019607843138,21.0,215.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,12976,0.436,"Business, Management and Accounting",Social Sciences
European Financial Management,1354-7798,Accounting,100,100,174.0,118.0,257.25,196.31,22.0,197.0,crossref_assertion,Wiley-Blackwell Publishing Ltd,3915,1.136,"Business, Management and Accounting",Social Sciences
Cogent Business and Management,2331-1975,Accounting,103,103,138.0,102.0,179.5,154.23300970873785,13.0,153.0,crossref_assertion,Cogent OA,9739,0.596,"Business, Management and Accounting",Social Sciences
Journal of Technology Transfer,0892-9912,Accounting,65,65,121.0,38.0,281.0,177.12307692307692,32.0,156.0,crossref_assertion,Kluwer Academic Publishers,1893,1.709,"Business, Management and Accounting",Social Sciences
Fiscal Studies,0143-5671,Accounting,1,1,0.0,0.0,0.0,0.0,24.0,24.0,crossref_assertion,Wiley-Blackwell,9255,0.625,"Business, Management and Accounting",Social Sciences
Translational Research in Anatomy,2214-854X,Anatomy & Physiology,2,2,246.5,127.75,365.25,246.5,,,pubmed,Elsevier GmbH,13095,0.431,Medicine,Health Sciences
American Journal of Biological Anthropology,2692-7691,Anatomy & Physiology,107,107,211.0,138.0,289.5,217.93457943925233,14.0,116.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,6090,0.861,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Journal of General Physiology,0022-1295,Anatomy & Physiology,100,100,194.5,112.75,297.25,222.28,,,pubmed,Rockefeller University Press,2760,1.382,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Chemical Senses,0379-864X,Anatomy & Physiology,1,1,184.0,184.0,184.0,184.0,,,pubmed,Oxford University Press,7921,0.713,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Anatomical Sciences Education,1935-9772,Anatomy & Physiology,120,120,174.0,105.75,255.0,196.14166666666668,28.0,175.5,"crossref_assertion, pubmed",John Wiley &amp; Sons Inc.,3474,1.216,Medicine,Health Sciences
Human Brain Mapping,1065-9471,Anatomy & Physiology,100,100,165.5,136.25,216.0,180.92,,,pubmed,Wiley-Liss Inc.,2175,1.584,Health Professions,Health Sciences
Brain Topography,1573-6792,Anatomy & Physiology,107,107,163.0,115.0,226.5,204.11214953271028,23.0,195.0,"crossref_assertion, pubmed",Kluwer Academic/Human Sciences Press Inc.,6019,0.868,Health Professions,Health Sciences
Chronobiology International,1525-6073,Anatomy & Physiology,101,101,160.0,111.0,208.0,177.12871287128712,13.0,182.0,crossref_assertion,Taylor and Francis Ltd.,7347,0.754,"Biochemistry, Genetics and Molecular Biology",Life Sciences
American Journal of Physiology - Lung Cellular and Molecular Physiology,1522-1504,Anatomy & Physiology,100,100,157.5,93.5,218.25,158.67,35.5,194.0,crossref_assertion,American Physiological Society,3365,1.24,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Microscopy Research and Technique,1097-0029,Anatomy & Physiology,102,102,152.5,108.75,207.75,171.6078431372549,14.5,112.5,"crossref_assertion, pubmed",Wiley-Liss Inc.,12144,0.473,Health Professions,Health Sciences
Journal of Histotechnology,0147-8885,Anatomy & Physiology,61,61,149.0,115.0,195.0,160.86885245901638,17.0,169.0,crossref_assertion,Maney Publishing,15147,0.35,Health Professions,Health Sciences
Brain Structure and Function,1863-2653,Anatomy & Physiology,200,200,144.5,99.75,206.25,163.805,21.0,179.5,"crossref_assertion, pubmed",Springer Science and Business Media Deutschland GmbH,3332,1.245,Medicine,Health Sciences
Cells Tissues Organs,1422-6421,Anatomy & Physiology,100,100,144.0,108.25,196.25,156.33,132.0,276.5,pubmed,S. Karger AG,7594,0.736,Medicine,Health Sciences
Journal of Anatomy,1469-7580,Anatomy & Physiology,127,127,137.0,84.5,209.5,154.13385826771653,14.0,158.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,8767,0.655,Agricultural and Biological Sciences,Life Sciences
Current Research in Physiology,2665-9441,Anatomy & Physiology,100,100,130.0,97.75,157.5,143.43,38.0,93.0,pubmed,Elsevier B.V.,8692,0.66,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Comparative Clinical Pathology,1618-565X,Anatomy & Physiology,63,63,128.0,82.0,190.5,142.25396825396825,77.0,218.0,pubmed,Springer London,18423,0.254,Medicine,Health Sciences
"Plant, Cell and Environment",0140-7791,Anatomy & Physiology,173,172,123.5,91.75,173.25,140.27325581395348,12.0,141.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,1256,2.15,Agricultural and Biological Sciences,Life Sciences
Journal of Experimental Botany,1460-2431,Anatomy & Physiology,100,100,117.5,86.5,155.0,124.42,,,pubmed,Oxford University Press,1770,1.778,Agricultural and Biological Sciences,Life Sciences
Journal of Physiological Sciences,1880-6546,Anatomy & Physiology,100,100,114.5,77.5,152.0,115.1,,,pubmed,Elsevier Inc.,6885,0.791,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Journal of Physiology,0022-3751,Anatomy & Physiology,138,138,111.5,35.5,197.75,133.2173913043478,23.0,109.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,1878,1.715,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Clinical Dysmorphology,1473-5717,Anatomy & Physiology,23,23,111.0,86.5,142.0,119.52173913043478,,,pubmed,Lippincott Williams and Wilkins,17952,0.265,Medicine,Health Sciences
Anatomical Record,1932-8486,Anatomy & Physiology,151,151,108.0,73.0,142.0,116.09933774834437,24.0,136.0,"crossref_assertion, pubmed",John Wiley &amp; Sons Inc.,10522,0.553,Agricultural and Biological Sciences,Life Sciences
American Journal of Human Biology,1042-0533,Anatomy & Physiology,106,106,106.0,57.5,149.25,118.35849056603773,13.0,33.0,"crossref_assertion, pubmed",Wiley-Liss Inc.,8444,0.676,Agricultural and Biological Sciences,Life Sciences
New Phytologist,1469-8137,Anatomy & Physiology,145,145,105.0,71.0,151.0,113.62068965517241,27.0,136.0,"crossref_assertion, pubmed",Wiley-Blackwell Publishing Ltd,612,3.293,Agricultural and Biological Sciences,Life Sciences
American Journal of Physiology - Regulatory Integrative and Comparative Physiology,1522-1490,Anatomy & Physiology,100,100,102.0,73.25,162.5,128.22,40.0,142.5,crossref_assertion,American Physiological Society,5311,0.945,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Artery Research,1876-4401,Anatomy & Physiology,7,7,100.0,55.5,154.5,109.57142857142857,25.0,60.5,pubmed,BioMed Central Ltd,17085,0.286,Medicine,Health Sciences
Physiological Reports,2051-817X,Anatomy & Physiology,106,106,95.5,53.0,130.75,97.61320754716981,24.0,153.0,"crossref_assertion, pubmed",John Wiley &amp; Sons Inc.,7184,0.766,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Advances in Anatomic Pathology,1072-4109,Anatomy & Physiology,17,17,94.0,60.0,100.0,114.29411764705883,38.0,98.0,"crossref_assertion, pubmed",Lippincott Williams and Wilkins Ltd.,3148,1.286,Medicine,Health Sciences
Anatomical Science International,1447-073X,Anatomy & Physiology,104,104,90.0,54.75,137.5,105.75,20.5,136.5,"crossref_assertion, pubmed",Springer,12679,0.448,Medicine,Health Sciences
Surgical and Radiologic Anatomy,0930-1038,Anatomy & Physiology,201,201,89.0,50.0,134.0,98.80099502487562,10.0,115.0,"crossref_assertion, pubmed",Springer Paris,12169,0.472,Medicine,Health Sciences
Revista Brasileira de Medicina do Trabalho,1679-4435,Anatomy & Physiology,100,98,86.0,46.0,132.0,99.11224489795919,133.0,140.0,pubmed,Associacao Nacional de Medicina do Trabalho,15218,0.348,Medicine,Health Sciences
Clinical Anatomy,1098-2353,Anatomy & Physiology,114,114,83.5,55.0,146.25,110.79824561403508,14.5,133.5,"crossref_assertion, pubmed",Wiley-Liss Inc.,6915,0.788,Medicine,Health Sciences
Frontiers in Network Physiology,2674-0109,Anatomy & Physiology,100,100,83.5,59.75,120.5,103.93,,61.5,pubmed,Frontiers Media SA,7181,0.766,Medicine,Health Sciences
Acta Physiologica,1748-1716,Anatomy & Physiology,100,100,82.0,7.75,151.75,96.78,,,pubmed,John Wiley and Sons Ltd,2306,1.528,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Annals of Anatomy,1618-0402,Anatomy & Physiology,100,100,78.5,49.0,130.25,91.17,,,pubmed,Elsevier GmbH,10184,0.571,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Temperature,2332-8940,Anatomy & Physiology,100,100,78.5,48.0,111.5,85.19,24.5,114.0,crossref_assertion,Taylor and Francis Ltd.,3305,1.25,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Anatomy and Cell Biology,2093-3673,Anatomy & Physiology,100,100,77.0,50.5,124.25,93.59,,,pubmed,Korean Association of Anatomists,14056,0.389,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Somnologie,1439-054X,Anatomy & Physiology,6,6,77.0,69.0,90.25,76.83333333333333,82.0,110.0,pubmed,Springer Verlag,18745,0.247,Medicine,Health Sciences
Journal of Physiological Investigation,2950-6344,Anatomy & Physiology,89,89,71.0,54.0,91.0,82.87640449438203,42.0,47.0,"crossref_assertion, pubmed",Wolters Kluwer Medknow Publications,12838,0.441,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Frontiers in Physiology,1664-042X,Anatomy & Physiology,100,100,69.0,42.0,99.25,72.27,,56.0,pubmed,Frontiers Media SA,4646,1.023,"Biochemistry, Genetics and Molecular Biology",Life Sciences
American Journal of Surgical Pathology,1532-0979,Anatomy & Physiology,32,32,66.5,43.75,136.0,87.15625,31.0,206.0,"crossref_assertion, pubmed",Wolters Kluwer Health,1950,1.684,Medicine,Health Sciences
Frontiers in Neuroanatomy,1662-5129,Anatomy & Physiology,100,100,64.0,45.5,93.25,74.27,,43.0,pubmed,Frontiers Media SA,5729,0.896,Medicine,Health Sciences
Physiology,1548-9213,Anatomy & Physiology,83,83,56.0,2.0,95.5,69.98795180722891,56.0,155.0,crossref_assertion,American Physiological Society,1628,1.873,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Human Physiology,1608-3164,Anatomy & Physiology,5,5,50.0,41.0,89.0,70.8,156.0,171.0,pubmed,Pleiades Publishing,23230,0.168,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Morphologie,1286-0115,Anatomy & Physiology,100,100,47.0,32.75,69.25,59.29,,,pubmed,Elsevier Masson s.r.l.,15574,0.335,Medicine,Health Sciences
Folia Morphologica,0015-5659,Anatomy & Physiology,100,100,43.5,28.0,72.25,51.83,208.0,106.0,pubmed,Via Medica,13712,0.403,Medicine,Health Sciences
Journal of Functional Morphology and Kinesiology,2411-5142,Anatomy & Physiology,100,100,36.5,27.75,47.25,39.68,,,pubmed,Multidisciplinary Digital Publishing Institute (MDPI),6738,0.804,Health Professions,Health Sciences
Current Anesthesiology Reports,1523-3855,Anesthesiology,1,1,298.0,298.0,298.0,298.0,16.0,314.0,crossref_assertion,Springer,11380,0.511,Medicine,Health Sciences
BJA Education,2058-5357,Anesthesiology,70,70,191.0,115.75,293.0,228.38571428571427,,,pubmed,Elsevier Ltd,6943,0.786,Medicine,Health Sciences
Anesthesia Progress,0003-3006,Anesthesiology,100,98,174.5,82.75,291.0,196.9591836734694,,,pubmed,Allen Press Inc.,20314,0.215,Medicine,Health Sciences
Pain Research and Management,1918-1523,Anesthesiology,119,119,166.0,118.0,216.5,183.0924369747899,20.0,130.5,"crossref_assertion, pubmed",John Wiley and Sons Ltd,6410,0.832,Medicine,Health Sciences
Clinical Journal of Pain,1536-5409,Anesthesiology,106,105,165.0,114.0,213.0,167.13333333333333,44.0,214.5,"crossref_assertion, pubmed",Lippincott Williams and Wilkins Ltd.,6097,0.86,Medicine,Health Sciences
Journal of Pain,1526-5900,Anesthesiology,100,100,162.0,108.0,213.5,157.8,,,pubmed,Elsevier B.V.,2854,1.357,Medicine,Health Sciences
Pain Reports,2471-2531,Anesthesiology,104,104,156.0,109.25,207.75,175.625,93.0,267.5,"crossref_assertion, pubmed",Lippincott Williams and Wilkins,3304,1.25,Medicine,Health Sciences
Pain Management,1758-1877,Anesthesiology,102,102,150.5,109.5,194.25,148.55882352941177,7.0,160.0,crossref_assertion,Taylor and Francis Ltd.,12480,0.457,Medicine,Health Sciences
European Journal of Pain,1090-3801,Anesthesiology,100,100,144.0,95.5,190.5,154.78,,,pubmed,John Wiley and Sons Inc,3073,1.303,Medicine,Health Sciences
British Journal of Pain,2049-4645,Anesthesiology,52,52,143.5,78.5,238.25,167.1153846153846,,,pubmed,SAGE Publications Ltd,11331,0.513,Medicine,Health Sciences
Canadian Journal of Pain,2474-0527,Anesthesiology,103,103,142.0,111.0,183.5,145.3398058252427,62.0,203.0,"crossref_assertion, pubmed",Taylor and Francis Ltd.,8920,0.646,Medicine,Health Sciences
Scandinavian Journal of Pain,1877-8879,Anesthesiology,100,100,139.5,79.0,196.0,139.19,,,pubmed,Walter de Gruyter GmbH,9336,0.621,Medicine,Health Sciences
Brazilian Journal of Anesthesiology (English Edition),2352-2291,Anesthesiology,100,100,136.0,72.75,187.0,130.98,56.5,90.0,pubmed,Elsevier Editora Ltda,12369,0.461,Medicine,Health Sciences
Journal of Pain and Palliative Care Pharmacotherapy,1536-0539,Anesthesiology,103,103,131.0,88.5,200.0,143.9902912621359,15.0,142.0,crossref_assertion,Informa Healthcare,13761,0.401,Medicine,Health Sciences
Pain Practice,1533-2500,Anesthesiology,103,103,130.0,80.0,240.0,163.66990291262135,7.0,18.0,"crossref_assertion, pubmed",Wiley-Blackwell Publishing Ltd,7078,0.775,Medicine,Health Sciences
Leukemia,0887-6924,Anesthesiology,106,106,129.0,87.5,174.5,138.53773584905662,11.0,82.5,"crossref_assertion, pubmed",Springer Nature,552,3.458,"Biochemistry, Genetics and Molecular Biology",Life Sciences
Anesthesiology Research and Practice,1687-6962,Anesthesiology,109,109,128.0,92.0,196.0,148.78899082568807,20.5,107.0,"crossref_assertion, pubmed",John Wiley and Sons Ltd,13221,0.425,Medicine,Health Sciences
Schmerz,0932-433X,Anesthesiology,59,59,127.0,53.0,233.5,164.47457627118644,,,pubmed,Springer Verlag,16408,0.308,Medicine,Health Sciences
European Journal of Anaesthesiology and Intensive Care,2767-7206,Anesthesiology,51,51,119.0,89.5,179.0,151.58823529411765,78.0,196.5,"crossref_assertion, pubmed",Wolters Kluwer Health,12659,0.449,Medicine,Health Sciences
Journal of Critical Care Medicine,2393-1817,Anesthesiology,100,100,117.0,66.5,182.5,128.3,,,pubmed,Sciendo,13802,0.399,Medicine,Health Sciences
Journal of Anesthesia History,2352-4529,Anesthesiology,100,100,116.0,23.0,231.5,159.52,,,pubmed,Elsevier Inc.,22836,0.174,Arts and Humanities,Arts & Humanities
Journal of Pain Research,1178-7090,Anesthesiology,100,100,112.5,84.0,141.25,113.02,15.0,74.5,pubmed,Dove Medical Press Ltd,6988,0.782,Medicine,Health Sciences
Case Reports in Anesthesiology,2090-6390,Anesthesiology,100,100,111.0,70.75,190.5,138.99,6.0,77.0,pubmed,John Wiley and Sons Ltd,21413,0.196,Medicine,Health Sciences
Paediatric Anaesthesia,1155-5645,Anesthesiology,106,106,110.5,35.25,187.75,121.4622641509434,11.0,126.0,"crossref_assertion, pubmed",John Wiley and Sons Inc,8723,0.658,Medicine,Health Sciences
Pain,1872-6623,Anesthesiology,140,140,109.0,66.25,165.5,122.91428571428571,57.0,199.5,"crossref_assertion, pubmed",Lippincott Williams and Wilkins,1410,2.017,Medicine,Health Sciences
Canadian Journal of Anesthesia,0832-610X,Anesthesiology,104,103,105.0,35.0,169.5,132.70873786407768,190.0,323.5,"crossref_assertion, pubmed",Springer,5481,0.924,Medicine,Health Sciences
Korean Journal of Anesthesiology,2005-7563,Anesthesiology,101,101,103.0,42.0,144.0,109.85148514851485,7.0,13.0,"crossref_assertion, pubmed",Korean Society of Anesthesiologists,3648,1.182,Medicine,Health Sciences
Journal of Clinical Anesthesia,1873-4529,Anesthesiology,100,100,102.5,61.5,174.0,119.53,,,pubmed,Elsevier Inc.,2958,1.333,Medicine,Health Sciences
Acta Anaesthesiologica Scandinavica,1399-6576,Anesthesiology,107,107,101.0,37.5,169.0,114.54205607476635,14.0,157.0,"crossref_assertion, pubmed",Blackwell Munksgaard,7419,0.749,Medicine,Health Sciences
BJA Open,2772-6096,Anesthesiology,100,100,100.0,60.0,151.25,114.62,,,pubmed,Elsevier B.V.,9429,0.615,Medicine,Health Sciences
BMC Anesthesiology,1471-2253,Anesthesiology,103,103,99.0,76.0,163.5,133.33009708737865,7.0,62.0,"crossref_assertion, pubmed",BioMed Central Ltd,7350,0.753,Medicine,Health Sciences
Seminars in Arthritis and Rheumatism,0049-0172,Anesthesiology,100,100,96.5,62.5,151.25,104.46,,,pubmed,W.B. Saunders,1625,1.874,Medicine,Health Sciences
Anaesthesiologie,2731-6858,Anesthesiology,87,87,96.0,57.0,166.0,128.72413793103448,,,pubmed,Springer Medizin,17825,0.268,Medicine,Health Sciences
Pain Medicine,1526-2375,Anesthesiology,100,100,92.5,56.75,130.75,99.19,,,pubmed,VICER Publishing,4980,0.982,Medicine,Health Sciences
Neuromodulation,1525-1403,Anesthesiology,100,100,90.0,66.75,113.75,94.74,,,pubmed,International Neuromodulation Society,4273,1.076,Medicine,Health Sciences
Journal of Clinical Monitoring and Computing,1573-2614,Anesthesiology,113,113,89.0,50.0,133.0,104.87610619469027,17.0,97.0,"crossref_assertion, pubmed",Springer Netherlands,9924,0.585,Medicine,Health Sciences
Current Pain and Headache Reports,1534-3081,Anesthesiology,50,50,86.0,56.25,252.0,164.42,,,pubmed,"Current Science, Inc.",7082,0.774,Medicine,Health Sciences
Local and Regional Anesthesia,1178-7112,Anesthesiology,100,100,84.5,62.0,117.25,91.4,11.5,56.0,pubmed,Dove Medical Press Ltd,10263,0.567,Medicine,Health Sciences
Frontiers in Pain Research,2673-561X,Anesthesiology,100,100,83.5,62.75,118.75,100.13,,64.0,pubmed,Frontiers Media SA,6904,0.789,Health Professions,Health Sciences
Journal of Pain and Symptom Management,1873-6513,Anesthesiology,100,100,83.5,51.75,118.5,89.64,,,pubmed,Elsevier Inc.,3526,1.205,Medicine,Health Sciences
European Journal of Anaesthesiology,0265-0215,Anesthesiology,113,113,79.0,39.0,148.0,101.63716814159292,33.0,188.0,"crossref_assertion, pubmed",Lippincott Williams and Wilkins,3300,1.25,Medicine,Health Sciences
Journal of Neurosurgical Anesthesiology,1537-1921,Anesthesiology,121,121,76.0,18.0,136.0,89.84297520661157,112.0,125.0,"crossref_assertion, pubmed",Lippincott Williams and Wilkins Ltd.,7903,0.715,Medicine,Health Sciences
Neurobiology of Pain,2452-073X,Anesthesiology,100,100,74.5,48.75,120.75,94.36,18.0,84.5,pubmed,Elsevier B.V.,4376,1.063,Medicine,Health Sciences
Medical Gas Research,2045-9912,Anesthesiology,108,108,74.0,49.75,95.0,77.62962962962963,70.0,139.5,"crossref_assertion, pubmed",Wolters Kluwer Medknow Publications,8435,0.677,Medicine,Health Sciences
Revista Espanola de Anestesiologia y Reanimacion,2340-3284,Anesthesiology,100,100,73.5,29.5,120.25,92.26,60.0,137.0,pubmed,"Sociedad Espanola de Anestesiologia, Reanimacion Y Terapeutica Del Dolor",17630,0.273,Medicine,Health Sciences
Anesthesiology and Pain Medicine,2228-7531,Anesthesiology,100,100,72.0,46.0,101.25,91.07,,,pubmed,Brieflands,12263,0.467,Medicine,Health Sciences
Asian Journal of Anesthesiology,2468-824X,Anesthesiology,22,22,71.0,54.25,117.75,101.04545454545455,,,pubmed,Taiwan Society of Anesthesiologists,23155,0.169,Medicine,Health Sciences
"Journal of Anesthesia, Analgesia and Critical Care",2731-3786,Anesthesiology,102,102,71.0,45.25,106.75,76.91176470588235,15.5,65.0,"crossref_assertion, pubmed",BioMed Central Ltd,8406,0.679,Medicine,Health Sciences
Anesthesia and Pain Medicine,2383-7977,Anesthesiology,107,107,70.0,42.0,111.5,82.85981308411215,79.0,175.0,"crossref_assertion, pubmed",Korean Society of Anesthesiologists,10557,0.551,Medicine,Health Sciences
Journal of Cardiothoracic and Vascular Anesthesia,1053-0770,Anesthesiology,100,100,63.0,15.25,98.0,68.06,,,pubmed,W.B. Saunders,8397,0.68,Medicine,Health Sciences
Korean Journal of Pain,2093-0569,Anesthesiology,103,103,61.0,36.5,84.5,65.48543689320388,54.0,74.0,"crossref_assertion, pubmed",The Korean Pain Society,7367,0.752,Medicine,Health Sciences
Indian Journal of Anaesthesia,0976-2817,Anesthesiology,121,121,60.0,28.0,116.0,75.52892561983471,17.0,67.0,"crossref_assertion, pubmed",Wolters Kluwer Medknow Publications,13465,0.414,Medicine,Health Sciences
Journal of Oral and Facial Pain and Headache,2333-0384,Anesthesiology,100,100,60.0,49.0,78.0,73.34,,,pubmed,MRE Press,10472,0.556,Dentistry,Health Sciences
International Journal of Obstetric Anesthesia,0959-289X,Anesthesiology,100,100,58.5,26.75,86.0,62.8,,,pubmed,Churchill Livingstone,9386,0.618,Medicine,Health Sciences
